filename	scene_label	device
audio/airport-prague-1015-40047-0-a.wav	airport	a
audio/airport-prague-1015-40047-1-a.wav	airport	a
audio/airport-prague-1015-40047-2-a.wav	airport	a
audio/airport-prague-1015-40047-3-a.wav	airport	a
audio/airport-prague-1015-40047-4-a.wav	airport	a
audio/airport-prague-1015-40047-5-a.wav	airport	a
audio/airport-prague-1015-40047-6-a.wav	airport	a
audio/airport-prague-1015-40047-7-a.wav	airport	a
audio/airport-prague-1015-40047-8-a.wav	airport	a
audio/airport-prague-1015-40047-9-a.wav	airport	a
audio/airport-prague-1034-40269-0-a.wav	airport	a
audio/airport-prague-1034-40269-1-a.wav	airport	a
audio/airport-prague-1034-40269-2-a.wav	airport	a
audio/airport-prague-1034-40269-3-a.wav	airport	a
audio/airport-prague-1034-40269-4-a.wav	airport	a
audio/airport-prague-1034-40269-5-a.wav	airport	a
audio/airport-prague-1034-40269-6-a.wav	airport	a
audio/airport-prague-1034-40269-7-a.wav	airport	a
audio/airport-prague-1034-40269-8-a.wav	airport	a
audio/airport-prague-1034-40269-9-a.wav	airport	a
audio/airport-lisbon-1114-40495-0-a.wav	airport	a
audio/airport-lisbon-1114-40495-1-a.wav	airport	a
audio/airport-lisbon-1114-40495-2-a.wav	airport	a
audio/airport-lisbon-1114-40495-3-a.wav	airport	a
audio/airport-lisbon-1114-40495-4-a.wav	airport	a
audio/airport-lisbon-1114-40495-5-a.wav	airport	a
audio/airport-lisbon-1114-40495-6-a.wav	airport	a
audio/airport-lisbon-1114-40495-7-a.wav	airport	a
audio/airport-lisbon-1114-40495-8-a.wav	airport	a
audio/airport-lisbon-1114-40495-9-a.wav	airport	a
audio/airport-lisbon-1122-40888-0-a.wav	airport	a
audio/airport-lisbon-1122-40888-1-a.wav	airport	a
audio/airport-lisbon-1122-40888-2-a.wav	airport	a
audio/airport-lisbon-1122-40888-3-a.wav	airport	a
audio/airport-lisbon-1122-40888-4-a.wav	airport	a
audio/airport-lisbon-1122-40888-5-a.wav	airport	a
audio/airport-lisbon-1122-40888-6-a.wav	airport	a
audio/airport-lisbon-1122-40888-7-a.wav	airport	a
audio/airport-lisbon-1122-40888-8-a.wav	airport	a
audio/airport-lisbon-1122-40888-9-a.wav	airport	a
audio/airport-lyon-1101-41172-0-a.wav	airport	a
audio/airport-lyon-1101-41172-1-a.wav	airport	a
audio/airport-lyon-1101-41172-2-a.wav	airport	a
audio/airport-lyon-1101-41172-3-a.wav	airport	a
audio/airport-lyon-1101-41172-4-a.wav	airport	a
audio/airport-lyon-1101-41172-5-a.wav	airport	a
audio/airport-lyon-1101-41172-6-a.wav	airport	a
audio/airport-lyon-1101-41172-7-a.wav	airport	a
audio/airport-lyon-1101-41172-8-a.wav	airport	a
audio/airport-lyon-1101-41172-9-a.wav	airport	a
audio/airport-prague-1069-41272-0-a.wav	airport	a
audio/airport-prague-1069-41272-1-a.wav	airport	a
audio/airport-prague-1069-41272-2-a.wav	airport	a
audio/airport-prague-1069-41272-3-a.wav	airport	a
audio/airport-prague-1069-41272-4-a.wav	airport	a
audio/airport-prague-1069-41272-5-a.wav	airport	a
audio/airport-prague-1069-41272-6-a.wav	airport	a
audio/airport-prague-1069-41272-7-a.wav	airport	a
audio/airport-prague-1069-41272-8-a.wav	airport	a
audio/airport-prague-1069-41272-9-a.wav	airport	a
audio/airport-prague-1023-41343-0-a.wav	airport	a
audio/airport-prague-1023-41343-1-a.wav	airport	a
audio/airport-prague-1023-41343-2-a.wav	airport	a
audio/airport-prague-1023-41343-3-a.wav	airport	a
audio/airport-prague-1023-41343-4-a.wav	airport	a
audio/airport-prague-1023-41343-5-a.wav	airport	a
audio/airport-prague-1023-41343-6-a.wav	airport	a
audio/airport-prague-1023-41343-7-a.wav	airport	a
audio/airport-prague-1023-41343-8-a.wav	airport	a
audio/airport-prague-1023-41343-9-a.wav	airport	a
audio/airport-prague-1015-41437-0-a.wav	airport	a
audio/airport-prague-1015-41437-1-a.wav	airport	a
audio/airport-prague-1015-41437-2-a.wav	airport	a
audio/airport-prague-1015-41437-3-a.wav	airport	a
audio/airport-prague-1015-41437-4-a.wav	airport	a
audio/airport-prague-1015-41437-5-a.wav	airport	a
audio/airport-prague-1015-41437-6-a.wav	airport	a
audio/airport-prague-1015-41437-7-a.wav	airport	a
audio/airport-prague-1015-41437-8-a.wav	airport	a
audio/airport-prague-1015-41437-9-a.wav	airport	a
audio/airport-lyon-1101-41603-0-a.wav	airport	a
audio/airport-lyon-1101-41603-1-a.wav	airport	a
